CBSA_NAME,SITE_ID,SITE_NAME,SITE_LATITUDE,SITE_LONGITUDE,DATE,PM2.5,AQI_VALUE
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/1/2023,15.9,59
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/2/2023,15.9,59
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/3/2023,5.1,21
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/3/2023,7.4,31
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/4/2023,6.7,28
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/5/2023,7.1,30
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/6/2023,5.8,24
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/6/2023,8.5,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/7/2023,10.2,43
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/8/2023,12.5,52
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/9/2023,13.7,54
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/9/2023,16.6,60
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/10/2023,16.7,61
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/11/2023,15.4,58
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/12/2023,9.1,38
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/12/2023,11.1,46
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/13/2023,5.4,23
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/14/2023,9.6,40
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/15/2023,17.6,63
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/15/2023,19.8,67
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/16/2023,11.9,50
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/17/2023,6.1,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/18/2023,8.3,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/18/2023,2.4,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/19/2023,3.7,15
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/20/2023,4.3,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/21/2023,6,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/21/2023,7.4,31
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/22/2023,14.1,55
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/23/2023,11.5,48
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/24/2023,19,66
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/24/2023,19.1,66
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/25/2023,9.1,38
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/26/2023,11.1,46
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/27/2023,4.5,19
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/27/2023,6.2,26
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/28/2023,6.9,29
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/29/2023,10.2,43
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/30/2023,11.5,48
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/30/2023,12.4,52
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,1/31/2023,6.3,26
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/1/2023,12.9,53
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/2/2023,12.2,51
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/2/2023,13.8,55
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/3/2023,5.9,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/4/2023,6.3,26
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/5/2023,6.1,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/5/2023,7.2,30
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/6/2023,17.1,62
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/7/2023,13,53
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/8/2023,14.4,56
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/8/2023,17.1,62
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/9/2023,9.4,39
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/10/2023,12.5,52
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/11/2023,9.1,38
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/11/2023,9.8,41
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/12/2023,12.8,52
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/13/2023,8.3,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/14/2023,8.4,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/14/2023,9.3,39
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/15/2023,11.4,48
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/16/2023,8.7,36
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/17/2023,8.6,36
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/17/2023,4,17
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/18/2023,6.9,29
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/19/2023,5.1,21
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/20/2023,8.2,34
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/20/2023,8.9,37
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/21/2023,7.9,33
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/22/2023,8,33
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/23/2023,4.6,19
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/23/2023,6.3,26
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/24/2023,6.1,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/25/2023,9.8,41
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/26/2023,16.7,61
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/26/2023,18.2,64
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/27/2023,13.2,53
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,2/28/2023,6.9,29
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/1/2023,8.3,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/1/2023,9.9,41
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/2/2023,11.8,49
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/3/2023,12.2,51
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/4/2023,6,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/4/2023,7.7,32
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,3/5/2023,9.4,39
